language,url,title,description,theme
hin,https://youtu.be/iNAU4LkmmHI,An introduction to the Gospel of Matthew | Holy Bible - Indian Sign Language Version (ISLV),"The Gospel of Matthew consisting of 28 chapters written by Apostle Matthew also known as Levi, the son of Alphaeus. Matthew was a Tax collector, before he became the disciple of Jesus Christ.

The purpose of his writing was to prove the Jews, that Jesus as the long-expected Messiah, the son of David, who established the Kingdom of God on earth.

Jesus Christ fulfilled the Old Testament prophesies concerning the Messiah. To accomplish his purpose Matthew emphasis Jesus’ royal genealogy. The Gospel of Matthew was written between 65 and 75 AD in Antioch of Northern Syria.

Key Verses: 1:20, 16:15-19, 28:18-20
Key Chapters: 1,12 and 28",Old Testament
hin,https://youtu.be/T27sE5VWFok,Matthew Chapter 01 | Holy Bible - Indian Sign Language Version (ISLV),"00:07 The Genealogy of Jesus the Messiah
04:57 The Birth of Jesus the Messiah",Old Testament
hin,https://youtu.be/raL8LSG1cRo,Matthew Chapter 02 | Holy Bible - Indian Sign Language Version (ISLV),"00:09 Wise men from the east came and honoured Jesus
04:16 Jesus’ family escaped to Egypt
05:33 Herod Kills the Baby Boys in Bethlehem
07:01 Jesus’ family returns from Egypt",Old Testament
hin,https://youtu.be/dmVTIMQXN6k,Matthew Chapter 03 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 John the Baptist prepares the way for Jesus
05:10 Jesus is baptized by John the Baptist",Old Testament
hin,https://youtu.be/mIDdqW7Z0KE,Matthew Chapter 04 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 The devil tempted Jesus
03:28 Jesus begins His work in Galilee
05:15 Jesus chooses his first four disciples
06:51 Jesus teaches and heals the people",Old Testament
hin,https://youtu.be/dF2h00ZGhDM,Matthew Chapter 05 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 The people whom God blesses
03:20 Jesus’ followers are like salt and light
04:48 Jesus came to fulfil the law
07:17 Jesus teaches about anger and reconciling
09:26 Jesus teaches about sexual sin and divorce
11:28 Jesus teaches about making promises
13:08 Jesus teaches about revenge
14:50 Jesus teaches about Love for Enemies",Old Testament
hin,https://youtu.be/8_in4pY70Ys,Matthew Chapter 06 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 Jesus teaches about giving to the poor
02:00 Jesus teaches about prayer
05:29 Jesus teaches about fasting
06:46 Jesus teaches about money
09:08 Trust God and do not worry",Old Testament
hin,https://youtu.be/iApUp_OAiRo,Matthew Chapter 07 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 Jesus teaches about not judging others
01:59 Ask God for what you need
03:54 The way to heaven is narrow 
04:34 True and false prophets 
06:31 True and false disciples
07:51 The wise and foolish builders",Old Testament
hin,https://youtu.be/68mpTWtnhOQ,Matthew Chapter 08 | Holy Bible - Indian Sign Language Version (ISLV),"00:09 Jesus heals a man with leprosy
01:36 Jesus heals an army officer’s servant
04:40 Jesus heals many people
06:04 Following Jesus
07:41 Jesus calms the storm
09:15 Jesus sends demons out of two men",Old Testament
hin,https://youtu.be/KtoyJFB0QLg,Matthew Chapter 09 | Holy Bible - Indian Sign Language Version (ISLV),"00:08 Jesus heals a Paralyzed Man
02:32 Jesus calls Matthew (Levi)
04:52 A question about fasting
06:54 Jesus raises a dead girl and heals a sick woman
09:30 Jesus healed two blind men and a mute man
11:59 The harvest is plentiful, the workers are few",Old Testament
